Country,Year,Status,Life_expectancy,Adult_Mortality,infant_deaths,Alcohol,percentage_expenditure,Hepatitis_B,Measles,BMI,under_five_deaths,Polio,Total_expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness__1_19_years,thinness_5_9_years,Income_composition_of_resources,Schooling,Disease_Name,Disease_Category,Prevalence_Rate_(%),Incidence_Rate_(%),Mortality_Rate_(%),Age_Group,Gender,Population_Affected,Healthcare_Access_(%),Doctors_per_1000,Hospital_Beds_per_1000,Treatment_Type,Average_Treatment_Cost_(USD),Availability_of_Vaccines/Treatment,Recovery_Rate_(%),DALYs,Improvement_in_5_Years_(%),Per_Capita_Income_(USD),Education_Index,Urbanization_Rate_(%),age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca,thal,target
Argentina,2001,Developing,74.0,138.0,12,7.76,123.0128671,80.94046121593291,0,54.6,13,85.0,9.38,83.0,0.1,717.694674,3747159.0,1.2,1.1,0.771,15.6,Alzheimer's Disease,Genetic,8.97,12.66,5.74,61+,Male,94711,61.72,1.57,8.35,Surgery,8372,Yes,76.09,863,6.33,35101,0.78,33.46,76,0,2,140,197,0,2,116,0,1.1,1,0,2,1
Brazil,2009,Developing,73.6,157.0,57,7.33,564.5233902,99.0,0,51.1,64,99.0,8.65,99.0,0.1,8553.3847,194895996.0,3.0,2.9,0.714,13.8,HIV/AIDS,Chronic,14.59,13.39,3.36,61+,Female,615743,91.29,2.62,6.94,Therapy,40626,Yes,91.36,1494,4.74,25723,0.89,68.36,71,0,1,160,302,0,1,162,0,0.4,2,2,2,1
Indonesia,2007,Developing,67.5,19.0,154,0.06,102.633435,76.0,19456,2.5,188,77.0,3.1,73.0,0.2,1855.93915,232989141.0,1.8,1.7,0.638,11.0,Ebola,Chronic,10.7,9.64,0.31,36-60,Female,398349,62.46,3.39,4.01,Surgery,14728,Yes,80.03,3536,5.7,95787,0.66,63.91,52,1,3,152,298,1,1,178,0,1.2,1,0,3,1
Nigeria,2004,Developing,48.5,47.0,563,9.76,57.22555815,80.94046121593291,31521,18.8,907,43.0,4.33,33.0,5.4,648.815852,135393616.0,13.2,13.2,0.445,8.5,Hypertension,Respiratory,16.94,8.04,5.72,36-60,Male,163922,50.04,2.31,8.15,Therapy,38879,Yes,72.65,3183,4.8,12931,0.64,52.67,54,1,0,110,239,0,1,126,1,2.8,1,1,3,0
China,2010,Developing,75.0,92.0,231,5.75,5.660754839,99.0,38159,28.1,268,99.0,4.89,99.0,0.1,456.512487,133775.0,4.2,3.6,0.691,12.5,Hypertension,Respiratory,6.89,3.61,7.71,36-60,Other,937452,96.42,4.46,5.47,Vaccination,20567,Yes,96.25,1801,0.26,86728,0.86,29.45,41,1,1,135,203,0,1,132,0,0.0,1,0,1,1
Canada,2004,Developing,80.0,77.0,2,7.8,5513.329924,14.0,7,6.6,2,91.0,9.56,91.0,0.1,31979.87195,31995.0,0.5,0.4,0.881,15.8,Ebola,Chronic,11.27,0.4,7.26,36-60,Male,420713,71.9,2.51,9.5,Therapy,28711,No,92.01,3457,5.39,55626,0.81,83.41,54,1,0,110,239,0,1,126,1,2.8,1,1,3,0
Australia,2013,Developed,82.5,61.0,1,9.87,11734.85381,91.0,158,65.5,1,91.0,9.36,91.0,0.1,67792.3386,23117353.0,0.6,0.6,0.933,20.3,COVID-19,Infectious,6.56,9.43,8.6,61+,Male,540587,91.35,2.44,1.81,Medication,46668,Yes,72.13,1003,8.11,58164,0.6,77.43,61,1,2,150,243,1,1,137,1,1.0,1,0,2,1
Japan,2003,Developed,81.9,7.0,3,7.83,578.7254273,80.94046121593291,8286,23.4,5,97.0,8.0,97.0,0.1,3488.3992,127718.0,1.7,1.4,0.863,14.8,Hepatitis,Infectious,10.05,2.31,8.0,36-60,Female,547812,88.98,3.43,9.05,Surgery,46395,No,71.34,2892,1.37,37407,0.54,22.66,48,1,0,124,274,0,0,166,0,0.5,1,0,3,0
Brazil,2006,Developing,73.0,161.0,70,7.1,30.30374691,99.0,57,48.6,79,99.0,8.36,99.0,0.1,586.145975,18912412.0,3.1,3.1,0.698,13.8,Cancer,Bacterial,7.48,10.54,7.63,36-60,Male,690956,53.82,2.03,9.05,Surgery,42712,Yes,56.15,2260,3.61,24799,0.77,85.67,44,1,1,130,219,0,0,188,0,0.0,2,0,2,1
India,2004,Developing,64.0,214.0,1600,1.2,27.33800857,6.0,55443,13.0,2100,58.0,4.22,63.0,0.3,621.3183767,1126135777.0,27.2,28.2,0.518,9.2,Cholera,Autoimmune,11.32,2.37,4.11,36-60,Other,907113,93.79,2.41,2.1,Therapy,37958,No,71.76,674,6.16,48826,0.57,63.6,53,0,0,138,234,0,0,160,0,0.0,2,0,2,1
Indonesia,2013,Developing,68.7,181.0,124,0.09,22.8478308,85.0,8419,25.6,148,86.0,2.93,85.0,0.3,362.663981,25232263.0,1.5,1.3,0.677,12.9,Influenza,Chronic,4.63,10.56,7.22,36-60,Male,455533,88.1,2.66,8.05,Surgery,5036,No,73.04,2246,8.79,62775,0.9,86.31,42,1,2,120,240,1,1,194,0,0.8,0,0,3,1
Brazil,2004,Developing,72.0,17.0,81,6.85,186.6090485,96.0,0,46.9,93,99.0,7.7,99.0,0.1,3623.47667,184738458.0,3.2,3.2,0.695,14.0,Tuberculosis,Autoimmune,11.24,3.5,0.66,36-60,Other,143034,84.21,4.07,2.94,Surgery,12505,Yes,86.56,141,2.17,84171,0.63,36.78,54,1,0,120,188,0,1,113,0,1.4,1,1,3,0
Mexico,2011,Developing,76.1,124.0,34,5.3,1117.196097,98.0,3,6.8,39,97.0,6.4,97.0,0.1,9834.472689,119917.0,1.6,1.6,0.745,12.6,Influenza,Metabolic,0.83,6.53,0.57,36-60,Other,355707,66.45,0.78,8.82,Therapy,46788,Yes,97.13,950,1.4,72483,0.48,33.24,52,1,0,128,255,0,1,161,1,0.0,2,1,3,0
Australia,2000,Developed,79.5,78.0,1,10.17,347.18736,80.94046121593291,108,58.2,2,9.0,8.8,9.0,0.1,2169.921,19153.0,0.7,0.7,0.897,20.4,Parkinson's Disease,Metabolic,7.18,4.06,7.34,61+,Other,133602,90.09,4.09,7.74,Medication,20235,Yes,50.43,2708,9.04,68013,0.84,52.57,66,0,3,150,226,0,1,114,0,2.6,0,0,2,1
Saudi Arabia,2004,Developing,73.1,12.0,9,0.06,816.4795082,96.0,1880,59.4,11,96.0,3.58,96.0,0.1,11138.8746,12753375.120052494,7.2,7.3,0.754,12.3,Asthma,Viral,4.42,14.4,5.68,36-60,Male,711902,69.48,2.93,2.88,Vaccination,8170,No,64.56,1533,3.5,1451,0.55,79.71,42,1,3,148,244,0,0,178,0,0.8,2,2,2,1
India,2003,Developing,63.7,216.0,1700,1.19,19.4808682,80.94046121593291,47147,12.6,2200,57.0,4.3,61.0,0.3,541.1352279,11827848.0,27.3,28.3,0.505,8.6,Hepatitis,Metabolic,18.46,14.33,7.28,36-60,Male,579204,91.6,2.5,9.07,Vaccination,5599,Yes,66.8,203,9.43,37614,0.49,87.88,60,0,0,150,258,0,0,157,0,2.6,1,2,3,0
South Africa,2000,Developing,57.3,397.0,51,7.3,45.96380839,73.0,1459,4.1,73,71.0,8.7,73.0,21.3,337.2253,44896856.0,16.3,19.1,0.635,13.0,Cancer,Parasitic,17.47,12.02,9.48,36-60,Male,32766,90.76,4.39,2.1,Medication,34481,No,94.31,3378,4.49,17309,0.67,79.19,54,0,2,110,214,0,1,158,0,1.6,1,0,2,1
China,2003,Developing,73.1,13.0,391,2.96,122.9365349,75.0,71879,22.6,467,87.0,4.82,86.0,0.1,1288.642924,12884.0,5.3,4.7,0.61,9.9,Parkinson's Disease,Genetic,9.52,14.4,1.26,61+,Male,464599,81.59,1.88,2.49,Vaccination,44768,No,98.68,3438,0.73,68481,0.48,71.64,61,1,3,134,234,0,1,145,0,2.6,1,2,2,0
Canada,2015,Developing,82.2,64.0,2,4.602860787172012,0.0,55.0,195,67.0,2,91.0,5.9381895280236,91.0,0.1,43315.744,3584861.0,0.6,0.5,0.919,16.3,Tuberculosis,Chronic,5.69,10.49,1.98,36-60,Other,60751,76.19,3.45,6.65,Therapy,1109,No,95.6,2234,3.55,28664,0.41,40.83,58,0,3,150,283,1,0,162,0,1.0,2,0,2,1
Italy,2001,Developed,79.8,75.0,2,9.69,3.1222302,95.0,0,55.7,3,96.0,8.11,93.0,0.1,24.819,569741.0,0.5,0.5,0.828,14.9,Diabetes,Parasitic,10.1,9.89,8.15,61+,Other,834375,69.26,2.65,8.61,Surgery,4108,Yes,83.38,1833,8.39,29619,0.6,28.07,64,0,0,180,325,0,1,154,1,0.0,2,0,2,1
Indonesia,2005,Developing,67.2,19.0,163,0.06,5.381782562,65.0,15853,19.0,201,79.0,2.79,72.0,0.1,126.928834,22671273.0,1.9,1.9,0.629,11.1,Ebola,Neurological,9.7,1.51,0.53,61+,Male,647008,87.56,0.71,5.6,Medication,17245,No,81.95,1257,7.04,87740,0.84,77.81,62,1,1,120,281,0,0,103,0,1.4,1,1,3,0
Nigeria,2013,Developing,53.2,367.0,498,8.3,194.2032879,46.0,52852,24.1,773,46.0,3.7,46.0,3.9,2996.96432,17182933.0,1.4,1.2,0.514,9.8,Diabetes,Autoimmune,19.45,10.41,1.85,61+,Other,960793,58.13,3.03,3.72,Surgery,47556,No,57.94,2167,1.25,24442,0.9,78.18,69,1,3,160,234,1,0,131,0,0.1,1,1,2,1
Canada,2008,Developing,87.0,74.0,2,8.3,8433.936814,28.0,62,63.0,2,89.0,1.3,92.0,0.1,46596.33599,33245773.0,0.5,0.4,0.897,15.8,Polio,Infectious,3.09,4.34,2.19,36-60,Male,872944,74.29,3.23,5.09,Surgery,17546,No,50.89,2956,9.42,62255,0.52,58.85,57,1,0,132,207,0,1,168,1,0.0,2,0,3,1
Italy,2000,Developed,79.4,77.0,3,9.78,31.50582204,94.0,1457,55.0,3,97.0,7.91,87.0,0.1,251.2426,5694218.0,0.5,0.5,0.823,14.8,Cholera,Chronic,16.88,7.63,4.21,61+,Female,243505,67.12,2.21,7.62,Surgery,24152,Yes,55.47,4400,3.37,2748,0.66,89.17,64,1,0,145,212,0,0,132,0,2.0,1,2,1,0
India,2004,Developing,64.0,214.0,1600,1.2,27.33800857,6.0,55443,13.0,2100,58.0,4.22,63.0,0.3,621.3183767,1126135777.0,27.2,28.2,0.518,9.2,Leprosy,Autoimmune,11.96,11.24,9.36,61+,Female,2068,62.85,2.0,2.27,Vaccination,36735,No,87.87,2052,5.01,99860,0.57,68.1,65,0,2,160,360,0,0,151,0,0.8,2,0,2,1
Indonesia,2015,Developing,69.1,176.0,114,4.602860787172012,0.0,78.0,15099,27.4,136,8.0,5.9381895280236,78.0,0.3,3336.16686,258162113.0,1.4,1.2,0.686,12.9,Leprosy,Neurological,6.7,13.6,6.83,36-60,Male,872343,68.63,4.82,8.19,Medication,23146,Yes,93.59,3017,0.65,68382,0.48,41.4,54,1,0,110,239,0,1,126,1,2.8,1,1,3,0
India,2013,Developing,67.6,187.0,1000,3.11,67.67230438,7.0,13822,17.5,1300,82.0,4.53,83.0,0.2,1452.195373,127856227.0,26.8,27.5,0.599,11.5,Hypertension,Genetic,11.81,2.91,6.32,61+,Male,111104,59.56,3.16,6.48,Therapy,46543,Yes,52.39,4701,8.78,83450,0.64,44.23,62,0,0,140,394,0,0,157,0,1.2,1,0,2,1
Italy,2015,Developed,82.7,56.0,1,4.602860787172012,0.0,93.0,159,63.6,2,93.0,5.9381895280236,93.0,0.1,349.14755,673582.0,0.6,0.6,0.881,16.3,Rabies,Respiratory,1.72,14.92,2.09,36-60,Male,754777,81.22,4.92,9.29,Medication,42062,Yes,97.2,2659,4.68,67453,0.42,84.79,58,1,0,114,318,0,2,140,0,4.4,0,3,1,0
Germany,2009,Developed,80.0,79.0,2,11.22,7641.270645,88.0,574,59.5,3,95.0,11.4,96.0,0.1,41732.7725,819237.0,1.1,1.1,0.906,16.7,Tuberculosis,Bacterial,13.74,14.2,8.31,36-60,Male,320276,97.5,3.17,1.22,Vaccination,26221,No,61.59,4070,7.72,57761,0.77,87.97,56,1,3,120,193,0,0,162,0,1.9,1,0,3,1
Turkey,2006,Developing,72.8,126.0,28,1.29,103.523776,82.0,34,58.5,34,9.0,5.81,9.0,0.1,834.869161,6876345.0,5.0,4.8,0.687,11.9,HIV/AIDS,Viral,17.38,3.47,1.09,19-35,Female,710314,52.8,4.98,7.86,Vaccination,3129,Yes,62.67,3018,5.98,73405,0.45,40.05,34,1,3,118,182,0,0,174,0,0.0,2,0,2,1
France,2006,Developing,86.0,92.0,3,12.4,5689.991931,39.0,40,58.0,4,99.0,1.53,99.0,0.1,36544.5853,63621376.0,0.6,0.6,0.87,16.1,Zika,Parasitic,15.48,11.28,6.82,61+,Male,996761,58.62,1.68,1.67,Medication,15082,No,74.8,2300,8.71,42959,0.67,62.14,71,0,2,110,265,1,0,130,0,0.0,2,1,2,1
Indonesia,2002,Developing,66.7,189.0,177,0.05,43.17867291,63.0,14492,16.7,222,8.0,2.27,7.0,0.1,899.5556857,2175859.0,11.0,11.1,0.608,10.6,Alzheimer's Disease,Infectious,8.69,4.78,8.28,61+,Male,166021,98.57,0.77,8.94,Surgery,43037,No,55.03,1527,1.71,16551,0.61,61.1,70,1,2,160,269,0,1,112,1,2.9,1,1,3,0
Argentina,2011,Developing,75.7,12.0,9,8.11,1504.329462,91.0,3,6.4,10,93.0,5.89,91.0,0.1,12726.9836,41656879.0,1.0,0.9,0.816,17.1,Malaria,Autoimmune,4.85,14.22,8.66,61+,Female,292548,65.86,0.52,1.79,Surgery,8140,Yes,96.34,4523,8.97,99135,0.61,57.78,71,0,0,112,149,0,1,125,0,1.6,1,0,2,1
Turkey,2007,Developing,73.2,124.0,26,1.26,115.5801103,96.0,3,59.3,31,96.0,6.4,96.0,0.1,979.49246,69597281.0,5.0,4.8,0.697,12.3,Rabies,Bacterial,19.78,0.38,7.48,36-60,Male,154701,98.32,2.0,7.08,Vaccination,11796,Yes,73.39,4507,4.09,68262,0.55,41.6,46,1,2,150,231,0,1,147,0,3.6,1,0,2,0
Brazil,2010,Developing,73.8,154.0,54,7.52,1111.191325,96.0,68,52.0,61,99.0,8.27,99.0,0.1,11224.1548,196796269.0,2.9,2.9,0.716,13.8,Ebola,Bacterial,8.65,6.24,4.43,36-60,Male,698110,70.68,4.96,5.97,Surgery,40368,Yes,97.52,1586,4.44,17118,0.9,28.53,58,1,2,105,240,0,0,154,1,0.6,1,0,3,1
Mexico,2000,Developing,74.8,129.0,55,4.99,10.22840118,97.0,30,52.4,66,97.0,4.98,97.0,0.1,672.92113,11719673.0,2.0,1.9,0.694,11.4,Polio,Genetic,13.26,1.77,6.86,36-60,Other,709261,94.39,3.15,9.54,Therapy,4910,No,86.64,3924,3.0,36485,0.73,85.24,53,0,0,130,264,0,0,143,0,0.4,1,0,2,1
India,2010,Developing,66.4,196.0,1200,2.77,57.73359864,38.0,31458,15.9,1600,76.0,4.28,79.0,0.2,1345.77153,12398691.0,27.0,27.8,0.569,10.4,Asthma,Neurological,2.29,4.2,7.87,36-60,Other,917839,71.63,3.68,3.54,Medication,1287,Yes,83.7,909,3.14,82658,0.7,59.05,42,1,1,120,295,0,1,162,0,0.0,2,0,2,1
Indonesia,2002,Developing,66.7,189.0,177,0.05,43.17867291,63.0,14492,16.7,222,8.0,2.27,7.0,0.1,899.5556857,2175859.0,11.0,11.1,0.608,10.6,Zika,Autoimmune,9.6,9.67,4.71,36-60,Female,670409,98.0,1.29,9.92,Vaccination,32754,Yes,76.61,3592,4.87,78539,0.85,78.55,44,1,2,130,233,0,1,179,1,0.4,2,0,2,1
South Africa,2005,Developing,53.8,498.0,55,8.69,709.3170967,79.0,615,43.6,84,75.0,7.77,79.0,29.5,5414.634326,476667.24,11.6,13.9,0.609,12.9,COVID-19,Autoimmune,19.67,0.3,0.35,36-60,Female,189507,75.46,2.23,6.35,Surgery,14596,Yes,55.71,3302,3.26,76957,0.41,70.79,59,1,0,170,326,0,0,140,1,3.4,0,0,3,0
South Africa,2008,Developing,55.3,473.0,50,8.19,780.0336423,76.0,39,45.7,75,77.0,7.75,79.0,23.5,5786.59972,49557573.3,8.9,1.7,0.616,12.9,Asthma,Genetic,3.13,1.2,7.56,61+,Male,915090,51.92,3.55,5.38,Surgery,2822,No,71.28,1433,0.15,82068,0.86,40.65,62,1,2,130,231,0,1,146,0,1.8,1,3,3,1
India,2014,Developing,68.0,184.0,957,3.07,86.52153895,79.0,79563,18.1,1200,84.0,4.69,85.0,0.2,1573.11889,1293859294.0,26.8,27.4,0.607,11.6,Zika,Chronic,0.18,7.36,9.19,61+,Male,693904,77.14,3.0,6.66,Vaccination,18519,Yes,76.69,2423,1.53,37639,0.83,84.69,62,1,1,128,208,1,0,140,0,0.0,2,0,2,1
Saudi Arabia,2003,Developing,73.0,13.0,9,0.05,832.3688708,95.0,1208,58.5,11,95.0,4.2,95.0,0.1,9567.458285,12753375.120052494,7.2,7.3,0.747,12.2,Measles,Cardiovascular,14.74,1.35,2.07,36-60,Female,394222,53.74,4.31,7.28,Therapy,20561,Yes,82.63,1305,4.68,23298,0.49,30.7,47,1,2,108,243,0,1,152,0,0.0,2,0,2,0
Brazil,2012,Developing,74.5,148.0,49,7.55,843.1946259,96.0,2,53.6,54,96.0,8.26,95.0,0.1,12291.46685,256983.0,2.8,2.8,0.73,14.2,Leprosy,Respiratory,4.59,7.82,2.27,19-35,Other,252285,56.04,3.6,5.88,Surgery,36921,No,88.76,3704,7.1,59394,0.69,62.25,35,1,1,122,192,0,1,174,0,0.0,2,0,2,1
Nigeria,2009,Developing,51.6,376.0,527,9.05,14.5676468,63.0,1272,21.6,832,66.0,4.24,63.0,4.9,197.661422,15442181.0,11.7,11.6,0.487,9.3,Cancer,Bacterial,16.93,6.65,3.66,36-60,Male,822313,64.14,2.86,8.68,Therapy,13199,No,92.1,3955,5.35,7121,0.87,40.05,60,0,2,120,178,1,1,96,0,0.0,2,0,2,1
Brazil,2005,Developing,72.7,163.0,75,6.97,23.76370075,98.0,6,47.8,85,99.0,8.27,99.0,0.1,477.182746,186917361.0,3.2,3.1,0.694,13.8,Diabetes,Parasitic,10.49,5.24,0.52,36-60,Female,726011,68.63,3.88,5.76,Therapy,30379,No,82.52,2276,5.24,45031,0.49,37.45,59,1,0,135,234,0,1,161,0,0.5,1,0,3,1
Australia,2003,Developed,83.0,71.0,1,9.97,3829.550928,95.0,91,6.3,1,92.0,8.32,93.0,0.1,23465.38559,198954.0,0.7,0.7,0.905,20.6,HIV/AIDS,Chronic,5.17,11.42,5.18,36-60,Other,806802,84.66,3.06,4.06,Therapy,30574,No,77.62,1458,7.8,45628,0.52,85.55,47,1,0,112,204,0,1,143,0,0.1,2,0,2,1
France,2011,Developing,81.7,83.0,3,11.8,683.9190568,74.0,14949,6.6,3,99.0,11.33,99.0,0.1,4381.288,65342776.0,0.6,0.6,0.882,16.1,Malaria,Genetic,2.07,9.29,0.7,36-60,Male,668027,59.32,0.83,7.11,Medication,10709,No,59.21,1571,1.58,70654,0.68,79.57,43,1,0,150,247,0,1,171,0,1.5,2,0,2,1
France,2004,Developing,82.0,94.0,3,13.18,5291.234786,35.0,4448,57.0,4,99.0,1.53,98.0,0.1,33874.74255,6274897.0,0.6,0.6,0.857,15.5,Rabies,Cardiovascular,10.27,10.59,7.78,36-60,Male,35014,63.95,1.0,4.21,Therapy,32981,No,81.7,2493,2.29,33597,0.62,45.94,56,1,3,120,193,0,0,162,0,1.9,1,0,3,1
Mexico,2013,Developing,76.6,12.0,32,5.23,150.408875,82.0,0,62.1,37,83.0,6.3,83.0,0.1,1298.86766,122535969.0,1.6,1.5,0.753,12.9,Hepatitis,Genetic,13.42,3.31,1.38,36-60,Other,777325,80.69,1.92,8.48,Therapy,2637,No,55.26,3004,8.28,8872,0.71,71.78,41,0,2,112,268,0,0,172,1,0.0,2,0,2,1
South Africa,2007,Developing,54.5,486.0,51,8.48,805.490079,83.0,31,45.0,79,79.0,7.53,82.0,26.4,6125.39984,48883844.99,9.7,11.7,0.612,12.9,COVID-19,Chronic,11.46,12.4,2.81,36-60,Other,942875,63.43,0.72,0.51,Vaccination,36182,Yes,88.01,660,0.1,97640,0.59,61.41,60,1,0,117,230,1,1,160,1,1.4,2,2,3,0
Indonesia,2006,Developing,67.3,191.0,159,0.06,72.0159316,66.0,20422,19.7,194,78.0,2.91,72.0,0.1,1586.254,22983822.0,1.8,1.8,0.632,10.9,Zika,Neurological,15.48,11.46,5.15,61+,Other,457852,98.3,3.74,7.21,Therapy,45729,No,58.75,4189,7.12,23346,0.87,41.38,68,0,2,120,211,0,0,115,0,1.5,1,0,2,1
Germany,2013,Developed,86.0,71.0,2,10.94,895.8779503,88.0,1771,61.4,3,94.0,11.16,95.0,0.1,4653.91143,864565.0,1.1,1.1,0.919,16.9,Influenza,Neurological,0.26,10.25,3.28,36-60,Male,355766,90.43,0.52,6.7,Therapy,46464,Yes,79.79,864,0.29,4756,0.42,48.75,45,1,0,115,260,0,0,185,0,0.0,2,0,2,1
Argentina,2005,Developing,74.9,127.0,11,7.53,96.16653429,88.0,0,56.9,12,95.0,6.85,98.0,0.1,576.883829,39145488.0,1.1,1.0,0.78,16.3,Hypertension,Respiratory,17.13,6.12,8.63,36-60,Male,480224,94.43,1.67,1.15,Surgery,26356,Yes,73.7,1817,1.92,10439,0.82,48.15,58,1,2,112,230,0,0,165,0,2.5,1,1,3,0
Indonesia,2008,Developing,67.7,189.0,149,0.07,10.26341108,82.0,15369,21.3,181,83.0,2.81,77.0,0.2,216.52766,236159276.0,1.7,1.7,0.641,11.7,Hepatitis,Metabolic,19.51,14.7,0.43,61+,Male,329027,95.71,2.88,2.19,Vaccination,22152,Yes,76.1,870,5.87,32217,0.58,48.43,63,0,1,140,195,0,1,179,0,0.0,2,2,2,1
